stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_type,route_color
at:49:19:0:2,Albertgasse,48.210648140000004,16.34340929,5,0,C00808
at:49:20:0:1,Albertinaplatz,48.20545774,16.36800516,2A,3,0A295D
at:49:20:0:2,Albertinaplatz,48.20476325,16.36945145,2A,3,0A295D
at:49:262:0:2,Albrechtskreithgasse,48.21909414,16.320340560000002,10A,3,0A295D
at:49:262:0:1,Albrechtskreithgasse,48.21948319,16.32065497,10A,3,0A295D
at:49:1016:0:3,Alfred-Adler-Straße,48.1823969,16.38169549,69A,3,0A295D
at:49:1016:0:4,Alfred-Adler-Straße,48.18257659,16.38151583,69A,3,0A295D
at:49:1016:0:6,Alfred-Adler-Straße,48.1820495,16.38147989,71,0,C00808
at:49:1016:0:5,Alfred-Adler-Straße,48.18206148,16.38163261,D,0,C00808
at:49:1016:0:6,Alfred-Adler-Straße,48.1820495,16.38147989,D,0,C00808
at:49:770:0:1,Alfred-Pischof-Gasse,48.21966873,16.52915394,98A,3,0A295D
at:49:22:0:1,Algenweg,48.24890438,16.53144465,89A,3,NA
at:49:22:0:1,Algenweg,48.24890438,16.53144465,89A,3,0A295D
at:49:23:0:2,Allerheiligengasse,48.23888979,16.3863847,11A,3,0A295D
at:49:23:0:1,Allerheiligengasse,48.2386744,16.38640266,11A,3,0A295D
at:49:23:0:2,Allerheiligengasse,48.23888979,16.3863847,5A,3,0A295D
at:49:23:0:1,Allerheiligengasse,48.2386744,16.38640266,5A,3,0A295D
at:49:23:0:1,Allerheiligengasse,48.2386744,16.38640266,N8,3,0A295D
at:49:1693:0:1,Allerheiligenplatz,48.23756154,16.38625893,37A,3,0A295D
at:49:24:0:1,Allissen,48.2864207,16.43030333,32A,3,0A295D
at:49:24:0:2,Allissen,48.28627126,16.43097707,32A,3,0A295D
at:49:25:0:1,Alois-Behr-Straße,48.20586485,16.24119898,49A,3,0A295D
at:49:26:0:3,Alsegger Straße,48.23167376,16.3247423,40,0,C00808
at:49:26:0:1,Alsegger Straße,48.23170368,16.32406856,40,0,C00808
at:49:976:0:2,Alsegger Straße/Czartoryskigasse,48.22903481,16.3237272,42A,3,0A295D
at:49:976:0:1,Alsegger Straße/Czartoryskigasse,48.22892111,16.32367331,42A,3,0A295D
at:49:27:0:4,Alser Straße,48.21723267,16.34199894,43,0,C00808
at:49:27:0:1,Alser Straße,48.21714289,16.3420708,43,0,C00808
at:49:27:0:1,Alser Straße,48.21714289,16.3420708,N43,3,0A295D
at:49:27:0:4,Alser Straße,48.21723267,16.34199894,N43,3,0A295D
at:49:27:0:7,Alser Straße,48.21713092,16.341433,N8,3,0A295D
at:49:27:0:3,Alser Straße,48.21653236,16.34216063,N8,3,0A295D
at:49:27:0:5,Alser Straße,48.21680769,16.34189114,U6,1,9D6830
at:49:27:0:2,Alser Straße,48.21683164,16.34179232,U6,1,9D6830
at:49:29:0:5,Alserbachstraße,48.224809810000004,16.35490773,12,0,C00808
at:49:29:0:10,Alserbachstraße,48.2248158,16.35533892,12,0,C00808
at:49:29:0:3,Alserbachstraße,48.22565364,16.35517722,37,0,C00808
at:49:29:0:8,Alserbachstraße,48.2252048,16.3546562,37,0,C00808
at:49:29:0:3,Alserbachstraße,48.22565364,16.35517722,38,0,C00808
at:49:29:0:8,Alserbachstraße,48.2252048,16.3546562,38,0,C00808
at:49:29:0:9,Alserbachstraße,48.2250492,16.35568926,40A,3,0A295D
at:49:29:0:10,Alserbachstraße,48.2248158,16.35533892,40A,3,0A295D
at:49:29:0:5,Alserbachstraße,48.224809810000004,16.35490773,5,0,C00808
at:49:29:0:10,Alserbachstraße,48.2248158,16.35533892,5,0,C00808
at:49:29:0:9,Alserbachstraße,48.2250492,16.35568926,N38,3,0A295D
at:49:30:0:3,Altdorferstraße,48.16852307,16.34985021,15A,3,0A295D
at:49:30:0:3,Altdorferstraße,48.16852307,16.34985021,65A,3,0A295D
at:49:31:0:7,Alte Donau,48.2373282,16.4244553,20A,3,0A295D
at:49:31:0:5,Alte Donau,48.23802823,16.42377258,20B,3,0A295D
at:49:31:0:3,Alte Donau,48.23795045,16.42366478,20B,3,0A295D
at:49:31:0:1,Alte Donau,48.23633498,16.42487751,N25,3,0A295D
at:49:31:0:4,Alte Donau,48.23723247,16.42586565,N25,3,0A295D
at:49:31:0:6,Alte Donau,48.23807609,16.4245092,U1,1,E3000F
at:49:31:0:2,Alte Donau,48.23814191,16.42443733,U1,1,E3000F
at:49:1499:0:2,Alterlaa,48.15054619,16.31709764,60A,3,0A295D
at:49:1499:0:5,Alterlaa,48.15112155,16.31640593,60A,3,0A295D
at:49:1499:0:3,Alterlaa,48.15095973,16.31685509,60A,3,0A295D
at:49:1499:0:5,Alterlaa,48.15112155,16.31640593,64A,3,0A295D
at:49:1499:0:3,Alterlaa,48.15095973,16.31685509,64A,3,0A295D
at:49:1499:0:4,Alterlaa,48.15028848,16.31707967,64B,3,0A295D
at:49:1499:0:2,Alterlaa,48.15054619,16.31709764,66A,3,0A295D
at:49:1499:0:5,Alterlaa,48.15112155,16.31640593,66A,3,0A295D
at:49:1499:0:3,Alterlaa,48.15095973,16.31685509,66A,3,0A295D
at:49:1499:0:7,Alterlaa,48.15081589,16.31710662,67B,3,0A295D
at:49:1499:0:4,Alterlaa,48.15028848,16.31707967,N64,3,NA
at:49:1499:0:3,Alterlaa,48.15095973,16.31685509,N66,3,0A295D
at:49:1499:0:4,Alterlaa,48.15028848,16.31707967,N66,3,0A295D
at:49:1499:0:5,Alterlaa,48.15112155,16.31640593,N66,3,0A295D
at:49:1499:0:2,Alterlaa,48.15054619,16.31709764,N8,3,0A295D
at:49:1499:0:6,Alterlaa,48.15072,16.31696289,U6,1,9D6830
at:49:1499:0:1,Alterlaa,48.15072599,16.31674729,U6,1,9D6830
at:49:33:0:2,Altes Landgut,48.160626,16.3837167,15A,3,0A295D
at:49:33:0:6,Altes Landgut,48.1608537,16.38356399,15A,3,0A295D
at:49:33:0:6,Altes Landgut,48.1608537,16.38356399,N67,3,0A295D
at:49:33:0:3,Altes Landgut,48.16144692,16.38312381,N67,3,0A295D
at:49:33:0:9,Altes Landgut,48.16198621,16.38354602,U1,1,E3000F
at:49:33:0:8,Altes Landgut,48.16193827,16.38321364,U1,1,E3000F
at:49:34:0:1,Althanstraße,48.22895702,16.35922862,1,0,C00808
at:49:34:0:3,Althanstraße,48.22874159,16.35974965,1,0,C00808
at:49:34:0:3,Althanstraße,48.22874159,16.35974965,D,0,C00808
at:49:34:0:1,Althanstraße,48.22895702,16.35922862,D,0,C00808
at:49:35:0:5,Altmannsdorfer Straße,48.16525774,16.31591186,16A,3,0A295D
at:49:35:0:8,Altmannsdorfer Straße,48.16445485,16.31556152,16A,3,0A295D
at:49:35:0:1,Altmannsdorfer Straße,48.16531166,16.31628017,62,0,C00808
at:49:35:0:5,Altmannsdorfer Straße,48.16525774,16.31591186,62A,3,0A295D
at:49:35:0:1,Altmannsdorfer Straße,48.16531166,16.31628017,62A,3,0A295D
at:49:35:0:4,Altmannsdorfer Straße,48.1649222,16.31663051,64B,3,0A295D
at:49:35:0:8,Altmannsdorfer Straße,48.16445485,16.31556152,64B,3,0A295D
at:49:35:0:4,Altmannsdorfer Straße,48.1649222,16.31663051,N8,3,0A295D
at:49:35:0:2,Altmannsdorfer Straße,48.16540753,16.31683713,N8,3,0A295D
at:49:427:0:1,Am Bahnhof,48.22378044,16.45085678,86A,3,NA
at:49:427:0:1,Am Bahnhof,48.22378044,16.45085678,86A,3,0A295D
at:49:427:0:1,Am Bahnhof,48.22378044,16.45085678,87A,3,0A295D
at:49:1508:0:1,Am Europlatz,48.17132689,16.3332763,15A,3,0A295D
at:49:1508:0:2,Am Europlatz,48.17144671,16.33399495,15A,3,0A295D
at:49:1508:0:1,Am Europlatz,48.17132689,16.3332763,7A,3,0A295D
at:49:1508:0:2,Am Europlatz,48.17144671,16.33399495,7A,3,0A295D
at:49:1508:0:2,Am Europlatz,48.17144671,16.33399495,N62,3,0A295D
at:49:1508:0:1,Am Europlatz,48.17132689,16.3332763,N62,3,0A295D
at:49:37:0:1,Am Fasangarten,48.17111122,16.30536564,8A,3,0A295D
at:49:37:0:2,Am Fasangarten,48.1707218,16.30310189,8A,3,0A295D
at:49:39:0:5,Am Heidjöchl,48.23716665,16.48782246,26,0,C00808
at:49:39:0:1,Am Heidjöchl,48.23708887,16.48775059,26,0,C00808
at:49:39:0:5,Am Heidjöchl,48.23716665,16.48782246,85A,3,0A295D
at:49:39:0:1,Am Heidjöchl,48.23708887,16.48775059,85A,3,0A295D
at:49:39:0:1,Am Heidjöchl,48.23708887,16.48775059,95B,3,0A295D
at:49:39:0:5,Am Heidjöchl,48.23716665,16.48782246,95B,3,0A295D
at:49:39:0:5,Am Heidjöchl,48.23716665,16.48782246,97A,3,0A295D
at:49:39:0:1,Am Heidjöchl,48.23708887,16.48775059,97A,3,0A295D
at:49:39:0:1,Am Heidjöchl,48.23708887,16.48775059,N23,3,0A295D
at:49:39:0:5,Am Heidjöchl,48.23716665,16.48782246,N23,3,0A295D
at:49:39:0:1,Am Heidjöchl,48.23708887,16.48775059,N24,3,NA
at:49:1795:0:3,Am Heumarkt,48.19845855,16.37704222,71,0,C00808
at:49:1795:0:1,Am Heumarkt,48.1985783,16.37706018,71,0,C00808
at:49:1795:0:1,Am Heumarkt,48.1985783,16.37706018,D,0,C00808
at:49:40:0:1,Am Himmelreich,48.16384969,16.43802884,73A,3,0A295D
at:49:40:0:2,Am Himmelreich,48.16394555,16.43815461,73A,3,0A295D
at:49:40:0:1,Am Himmelreich,48.16384969,16.43802884,N71,3,0A295D
at:49:40:0:2,Am Himmelreich,48.16394555,16.43815461,N71,3,0A295D
at:49:41:0:1,Am Hundsturm,48.18852392,16.34765832,12A,3,0A295D
at:49:41:0:2,Am Hundsturm,48.18682304,16.34741578,12A,3,0A295D
at:49:41:0:1,Am Hundsturm,48.18852392,16.34765832,N60,3,0A295D
at:49:42:0:4,Am Kanal,48.17034437,16.41068412,15A,3,0A295D
at:49:42:0:2,Am Kanal,48.17043424,16.41054938,15A,3,0A295D
at:49:42:0:1,Am Kanal,48.16946967,16.41035175,69A,3,0A295D
at:49:42:0:3,Am Kanal,48.17042225,16.40966004,69A,3,0A295D
at:49:43:0:2,Am Kanal/Hasenleitengasse,48.16352014,16.41841862,69A,3,0A295D
at:49:43:0:1,Am Kanal/Hasenleitengasse,48.16355009,16.41822099,69A,3,0A295D
at:49:43:0:1,Am Kanal/Hasenleitengasse,48.16355009,16.41822099,72A,3,0A295D
at:49:43:0:2,Am Kanal/Hasenleitengasse,48.16352014,16.41841862,72A,3,0A295D
at:49:528:0:1,Am Krautgarten,48.23473741,16.46134012,95A,3,0A295D
at:49:44:0:1,Am Modenapark,48.19906929,16.38276448,4A,3,0A295D
at:49:44:0:2,Am Modenapark,48.1991651,16.38274652,4A,3,0A295D
at:49:45:0:1,Am Platz,48.18584082,16.30112559,56A,3,0A295D
at:49:45:0:3,Am Platz,48.18626006,16.30094593,56A,3,0A295D
at:49:45:0:2,Am Platz,48.18599654,16.30182628,56A,3,0A295D
at:49:45:0:1,Am Platz,48.18584082,16.30112559,56B,3,0A295D
at:49:45:0:3,Am Platz,48.18626006,16.30094593,56B,3,0A295D
at:49:45:0:2,Am Platz,48.18599654,16.30182628,56B,3,0A295D
at:49:45:0:1,Am Platz,48.18584082,16.30112559,58A,3,0A295D
at:49:45:0:2,Am Platz,48.18599654,16.30182628,58A,3,0A295D
at:49:45:0:1,Am Platz,48.18584082,16.30112559,58B,3,0A295D
at:49:45:0:2,Am Platz,48.18599654,16.30182628,58B,3,0A295D
at:49:1528:0:1,Am Rain,48.25386907,16.4899335,85A,3,0A295D
at:49:46:0:3,Am Rosenhügel,48.16171656,16.29150464,56A,3,0A295D
at:49:46:0:1,Am Rosenhügel,48.16221989,16.29104649,56A,3,0A295D
at:49:46:0:1,Am Rosenhügel,48.16221989,16.29104649,58A,3,0A295D
at:49:46:0:3,Am Rosenhügel,48.16171656,16.29150464,58A,3,0A295D
at:49:46:0:1,Am Rosenhügel,48.16221989,16.29104649,58B,3,0A295D
at:49:46:0:3,Am Rosenhügel,48.16171656,16.29150464,58B,3,0A295D
at:49:46:0:1,Am Rosenhügel,48.16221989,16.29104649,63A,3,0A295D
at:49:46:0:2,Am Rosenhügel,48.16179446,16.29097463,63A,3,0A295D
at:49:46:0:4,Am Rosenhügel,48.16219593,16.29193583,63A,3,0A295D
at:49:48:0:3,Am Schöpfwerk,48.16147688,16.32464349,16A,3,0A295D
at:49:48:0:1,Am Schöpfwerk,48.1615428,16.32502976,16A,3,0A295D
at:49:48:0:1,Am Schöpfwerk,48.1615428,16.32502976,N65,3,0A295D
at:49:48:0:3,Am Schöpfwerk,48.16147688,16.32464349,N65,3,0A295D
at:49:48:0:5,Am Schöpfwerk,48.16066795,16.32425721,U6,1,9D6830
at:49:48:0:2,Am Schöpfwerk,48.1607039,16.32414043,U6,1,9D6830
at:49:1857:0:1,Am Schöpfwerk/Eibesbrunnergasse,48.160626,16.32933269,16A,3,0A295D
at:49:1857:0:2,Am Schöpfwerk/Eibesbrunnergasse,48.160626,16.32976388,16A,3,0A295D
at:49:1857:0:2,Am Schöpfwerk/Eibesbrunnergasse,48.160626,16.32976388,N65,3,0A295D
at:49:1857:0:1,Am Schöpfwerk/Eibesbrunnergasse,48.160626,16.32933269,N65,3,0A295D
at:49:49:0:2,Am Spiegeln,48.15235615,16.28193758,56A,3,0A295D
at:49:49:0:1,Am Spiegeln,48.15244005,16.28200944,56A,3,0A295D
